Extract.Date,LA.Code,LA.Name,Breakdown.Field,Breakdown.Value,Patient.Count,LAD19NM,pop19,age65plus,pct_over65_18,RGN19CD,RGN19NM,Shielders_pct,rank_imd,decile_imd,quintile_imd,rank_income,decile_income,quintile_income
16/09/2020,E08000012,Liverpool,ALL,ALL,46605,Liverpool,498042,73514,14.7606025194662,E12000002,North West,9.35764453600299,3,1,1,4,1,1
16/09/2020,E08000014,Sefton,ALL,ALL,22455,Sefton,276410,65126,23.56137621649,E12000002,North West,8.12380159907384,58,2,1,55,2,1
16/09/2020,E09000018,Hounslow,ALL,ALL,21325,Hounslow,271523,33431,12.3124007910932,E12000007,London,7.85384663545998,122,4,2,111,4,2
16/09/2020,E08000013,St. Helens,ALL,ALL,12760,St. Helens,180585,37203,20.6013788520641,E12000002,North West,7.06592463382895,26,1,1,34,2,1
16/09/2020,E07000027,Barrow-in-Furness,ALL,ALL,4700,Barrow-in-Furness,67049,14597,21.7706453489239,E12000002,North West,7.00979880385986,31,1,1,58,2,1
16/09/2020,E07000171,Bassetlaw,ALL,ALL,7445,Bassetlaw,117459,26035,22.1651810418955,E12000004,East Midlands,6.3383819034727,106,4,2,129,5,3
16/09/2020,E08000011,Knowsley,ALL,ALL,9255,Knowsley,150862,26033,17.2561678885339,E12000002,North West,6.13474566159802,2,1,1,2,1,1
16/09/2020,E09000009,Ealing,ALL,ALL,20470,Ealing,341806,44846,13.120308010977,E12000007,London,5.9887772596151,105,4,2,94,3,2
16/09/2020,E06000034,Thurrock,ALL,ALL,9905,Thurrock,174341,24063,13.8022610860325,E12000006,East of England,5.6813945084633,128,5,3,108,4,2
16/09/2020,E07000244,East Suffolk,ALL,ALL,14065,East Suffolk,249461,68549,27.4788443885016,E12000006,East of England,5.63815586404288,143,5,3,147,5,3
16/09/2020,E07000073,Harlow,ALL,ALL,4820,Harlow,87067,13401,15.3915949785797,E12000006,East of England,5.53596655449252,124,4,2,102,4,2
16/09/2020,E08000001,Bolton,ALL,ALL,15870,Bolton,287550,49822,17.3263780212137,E12000002,North West,5.51904016692749,34,2,1,29,1,1
16/09/2020,E07000075,Rochford,ALL,ALL,4810,Rochford,87368,20273,23.2041479717975,E12000006,East of England,5.50544821902756,284,9,5,254,9,5
16/09/2020,E08000016,Barnsley,ALL,ALL,13295,Barnsley,246866,48162,19.5093694554941,E12000003,Yorkshire and The Humber,5.38551278831431,38,2,1,43,2,1
16/09/2020,E08000017,Doncaster,ALL,ALL,16650,Doncaster,311890,59745,19.1557921061913,E12000003,Yorkshire and The Humber,5.33842059700535,37,2,1,48,2,1
16/09/2020,E08000035,Leeds,ALL,ALL,42205,Leeds,793139,123516,15.5730584424672,E12000003,Yorkshire and The Humber,5.32126146867069,55,2,1,86,3,2
16/09/2020,E06000042,Milton Keynes,ALL,ALL,14165,Milton Keynes,269457,38182,14.1699788834582,E12000008,South East,5.25686844283132,165,6,3,148,5,3
16/09/2020,E07000241,Welwyn Hatfield,ALL,ALL,6435,Welwyn Hatfield,123043,19125,15.5433466349162,E12000006,East of England,5.22987898539535,221,7,4,215,7,4
16/09/2020,E09000005,Brent,ALL,ALL,17130,Brent,329771,41088,12.4595552671399,E12000007,London,5.19451376864551,79,3,2,65,3,2
16/09/2020,E06000057,Northumberland,ALL,ALL,16695,Northumberland,322434,79783,24.7439786126773,E12000001,North East,5.17780382962095,116,4,2,115,4,2
16/09/2020,E07000163,Craven,ALL,ALL,2955,Craven,57142,15615,27.3266598998985,E12000003,Yorkshire and The Humber,5.17132756991355,245,8,4,274,9,5
16/09/2020,E07000076,Tendring,ALL,ALL,7455,Tendring,146561,43702,29.8183009122481,E12000006,East of England,5.08661922339504,36,2,1,40,2,1
16/09/2020,E07000224,Arun,ALL,ALL,8165,Arun,160758,46384,28.8533074559276,E12000008,South East,5.07906293932495,156,5,3,172,6,3
16/09/2020,E08000002,Bury,ALL,ALL,9640,Bury,190990,35025,18.338656474161,E12000002,North West,5.04738467982617,95,3,2,83,3,2
16/09/2020,E06000002,Middlesbrough,ALL,ALL,6975,Middlesbrough,140980,23098,16.3838842388991,E12000001,North East,4.94751028514683,5,1,1,1,1,1
